"institutionCode";"collectionCode";"catalogNumber";"scientificName";"decimalLatitude";"decimalLongitude";"coordinatePrecision";"eventDate";"recordedBy";"associatedMedia";"basisOfRecord"
"agoralogie";"iherbarium";"928";"Senecio jacobaea L.";"49.5805";"-1.7291666666667";"50meters";"2011-07-19";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/928";"HumanObservation"
"agoralogie";"iherbarium";"793";"Medicago sativa L.";"48.888833333333";"2.3903333333333";"50meters";"2011-06-19";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/793";"HumanObservation"
"agoralogie";"iherbarium";"783";"Brassica nigra (L.) W.D.J. Koch";"48.891166666667";"2.3881666666667";"50meters";"2011-06-18";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/783";"HumanObservation"
"agoralogie";"iherbarium";"933";"Heracleum sphondylium L.";"49.580333333333";"-1.73";"50meters";"2011-07-20";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/933";"HumanObservation"
"agoralogie";"iherbarium";"1474";"Papaver rhoeas L.";"48.282666666667";"7.5668333333333";"50meters";"2011-10-12";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/1474";"HumanObservation"
"agoralogie";"iherbarium";"1474";"Papaver rhoeas L.";"48.282666666667";"7.5668333333333";"50meters";"2011-10-12";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/1474";"HumanObservation"
"agoralogie";"iherbarium";"836";"Solanum nigrum L.";"48.8615";"2.391";"50meters";"2011-06-26";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/836";"HumanObservation"
"agoralogie";"iherbarium";"1669";"Taraxacum officinale F.H. Wigg.";"48.848833333333";"2.3716666666667";"50meters";"2012-03-20";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/1669";"HumanObservation"
"agoralogie";"iherbarium";"1671";"Taraxacum officinale F.H. Wigg.";"48.849166666667";"2.3728333333333";"50meters";"2012-03-20";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/1671";"HumanObservation"
"agoralogie";"iherbarium";"1690";"Taraxacum officinale F.H. Wigg.";"48.845333333333";"2.3796666666667";"50meters";"2012-03-24";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/1690";"HumanObservation"
"agoralogie";"iherbarium";"1858";"Euphorbia characias L.";"44.231";"4.1481666666667";"50meters";"2012-04-16";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/1858";"HumanObservation"
"agoralogie";"iherbarium";"1855";"Ranunculus ficaria L.";"48.489093780518";"-0.050618998706341";"50meters";"2012-04-15";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1855";"HumanObservation"
"agoralogie";"iherbarium";"1854";"Cerastium fontanum Baumg.";"48.489078521729";"-0.050661999732256";"50meters";"2012-04-15";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1854";"HumanObservation"
"agoralogie";"iherbarium";"1852";"Euphorbia cyparissias L.";"48.490345001221";"-0.050361000001431";"50meters";"2012-04-15";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1852";"HumanObservation"
"agoralogie";"iherbarium";"1845";"Valeriana locusta L.";"48.4892578125";"-0.050714999437332";"50meters";"2012-04-14";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1845";"HumanObservation"
"agoralogie";"iherbarium";"1841";"Glechoma hederacea L.";"48.489078521729";"-0.050639998167753";"50meters";"2012-04-14";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1841";"HumanObservation"
"agoralogie";"iherbarium";"1859";"Biscutella laevigata L.";"44.230333333333";"4.1478333333333";"50meters";"2012-04-16";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/1859";"HumanObservation"
"agoralogie";"iherbarium";"1862";"Veronica persica Poir.";"48.4889793396";"-0.050714999437332";"50meters";"2012-04-16";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1862";"HumanObservation"
"agoralogie";"iherbarium";"1843";"Chelidonium majus L.";"48.489398956299";"-0.050682999193668";"50meters";"2012-04-14";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1843";"HumanObservation"
"agoralogie";"iherbarium";"1835";"Lamium purpureum L.";"48.489284515381";"-0.050726000219584";"50meters";"2012-04-13";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1835";"HumanObservation"
"agoralogie";"iherbarium";"1833";"Geranium robertianum L.";"48.489303588867";"-0.05069399997592";"50meters";"2012-04-13";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1833";"HumanObservation"
"agoralogie";"iherbarium";"1840";"Lunaria annua L.";"48.489490509033";"-0.050661999732256";"50meters";"2012-04-14";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1840";"HumanObservation"
"agoralogie";"iherbarium";"1869";"Cymbalaria muralis P. Gaertn., B. Mey. & Scherb.";"48.489448547363";"-0.050661999732256";"50meters";"2012-04-17";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1869";"HumanObservation"
"agoralogie";"iherbarium";"1909";"Tragopogon pratensis L.";"44.231";"4.1473333333333";"50meters";"2012-04-18";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/1909";"HumanObservation"
"agoralogie";"iherbarium";"1901";"Senecio vulgaris L.";"48.489063262939";"-0.050790000706911";"50meters";"2012-04-18";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1901";"HumanObservation"
"agoralogie";"iherbarium";"1930";"Cruciata laevipes Opiz";"48.488212585449";"-0.042668998241425";"50meters";"2012-04-21";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1930";"HumanObservation"
"agoralogie";"iherbarium";"1932";"Primula veris L.";"48.488582611084";"-0.044277999550104";"50meters";"2012-04-21";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1932";"HumanObservation"
"agoralogie";"iherbarium";"1928";"Euphorbia peplus L.";"48.489734649658";"-0.050530001521111";"50meters";"2012-04-20";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1928";"HumanObservation"
"agoralogie";"iherbarium";"1925";"Arum maculatum L.";"48.489051818848";"-0.050661999732256";"50meters";"2012-04-19";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1925";"HumanObservation"
"agoralogie";"iherbarium";"1907";"Cymbalaria muralis P. Gaertn., B. Mey. & Scherb.";"49.107166666667";"2.1825";"50meters";"2012-04-18";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/1907";"HumanObservation"
"agoralogie";"iherbarium";"1886";"Bellis perennis L.";"48.489051818848";"-0.050714999437332";"50meters";"2012-04-17";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1886";"HumanObservation"
"agoralogie";"iherbarium";"1944";"Ajuga reptans L.";"48.489013671875";"-0.045614000409842";"50meters";"2012-04-24";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1944";"HumanObservation"
"agoralogie";"iherbarium";"1891";"Primula vulgaris Huds.";"48.488967895508";"-0.050737001001835";"50meters";"2012-04-17";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1891";"HumanObservation"
"agoralogie";"iherbarium";"1892";"Silene latifolia Poir.";"48.278333333333";"7.5675";"50meters";"2012-04-17";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/1892";"HumanObservation"
"agoralogie";"iherbarium";"1872";"Taraxacum officinale F.H. Wigg.";"48.489135742188";"-0.050714999437332";"50meters";"2012-04-17";"Jean-Jacques DUVAL";"http://www.iherbarium.fr/observation/data/1872";"HumanObservation"
"agoralogie";"iherbarium";"1946";"Helleborus foetidus L.";"44.236666666667";"4.148";"50meters";"2012-04-24";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/1946";"HumanObservation"
"agoralogie";"iherbarium";"2087";"Ranunculus repens L.";"48.849";"2.3723333333333";"50meters";"2012-05-03";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2087";"HumanObservation"
"agoralogie";"iherbarium";"2101";"Bellis perennis L.";"48.863833333333";"2.3955";"50meters";"2012-05-03";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2101";"HumanObservation"
"agoralogie";"iherbarium";"2097";"Taraxacum officinale L.";"48.863666666667";"2.3958333333333";"50meters";"2012-05-03";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2097";"HumanObservation"
"agoralogie";"iherbarium";"2109";"Lunaria annua L.";"48.863833333333";"2.3966666666667";"50meters";"2012-05-04";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2109";"HumanObservation"
"agoralogie";"iherbarium";"2112";"Geranium robertianum L.";"48.8635";"2.3968333333333";"50meters";"2012-05-04";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2112";"HumanObservation"
"agoralogie";"iherbarium";"2119";"Cymbalaria muralis P. Gaertn., B. Mey. & Scherb.";"48.863333333333";"2.3958333333333";"50meters";"2012-05-04";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2119";"HumanObservation"
"agoralogie";"iherbarium";"2130";"Silene alba (Mill.) E.H.L. Krause";"48.863166666667";"2.3955";"50meters";"2012-05-04";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2130";"HumanObservation"
"agoralogie";"iherbarium";"2132";"Cymbalaria muralis P. Gaertn., B. Mey. & Scherb.";"48.863166666667";"2.3953333333333";"50meters";"2012-05-04";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2132";"HumanObservation"
"agoralogie";"iherbarium";"2143";"Cymbalaria muralis P. Gaertn., B. Mey. & Scherb.";"48.863";"2.3948333333333";"50meters";"2012-05-05";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2143";"HumanObservation"
"agoralogie";"iherbarium";"2156";"Cymbalaria muralis P. Gaertn., B. Mey. & Scherb.";"48.863166666667";"2.3923333333333";"50meters";"2012-05-05";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2156";"HumanObservation"
"agoralogie";"iherbarium";"2201";"Lamium galeobdolon L.";"48.814333333333";"2.0021666666667";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2201";"HumanObservation"
"agoralogie";"iherbarium";"2206";"Geranium robertianum L.";"48.814333333333";"2.0021666666667";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2206";"HumanObservation"
"agoralogie";"iherbarium";"2210";"Hyacinthoides non-scripta (L.) Chouard";"48.814333333333";"2.0021666666667";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2210";"HumanObservation"
"agoralogie";"iherbarium";"2212";"Geranium robertianum L.";"48.814333333333";"2.0021666666667";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2212";"HumanObservation"
"agoralogie";"iherbarium";"2217";"Veronica chamaedrys L.";"48.814333333333";"2.0021666666667";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2217";"HumanObservation"
"agoralogie";"iherbarium";"2222";"Lamium galeobdolon L.";"48.8135";"2.002";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2222";"HumanObservation"
"agoralogie";"iherbarium";"2223";"Hyacinthoides non-scripta (L.) Chouard";"48.8135";"2.0016666666667";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2223";"HumanObservation"
"agoralogie";"iherbarium";"2224";"Geranium robertianum L.";"48.8135";"2.0016666666667";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2224";"HumanObservation"
"agoralogie";"iherbarium";"2228";"Veronica chamaedrys L.";"48.8135";"2.0016666666667";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2228";"HumanObservation"
"agoralogie";"iherbarium";"2231";"Lamium galeobdolon L.";"48.8135";"2.0016666666667";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2231";"HumanObservation"
"agoralogie";"iherbarium";"2232";"Geranium robertianum L.";"48.8135";"2.0016666666667";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2232";"HumanObservation"
"agoralogie";"iherbarium";"2233";"Hyacinthoides non-scripta (L.) Chouard";"48.8135";"2.0016666666667";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2233";"HumanObservation"
"agoralogie";"iherbarium";"2234";"Ajuga reptans L.";"48.8135";"2.0016666666667";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2234";"HumanObservation"
"agoralogie";"iherbarium";"2236";"Bellis perennis L.";"48.8135";"2.0016666666667";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2236";"HumanObservation"
"agoralogie";"iherbarium";"2238";"Lamium galeobdolon L.";"48.8135";"2.0016666666667";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2238";"HumanObservation"
"agoralogie";"iherbarium";"2240";"Ajuga reptans L.";"48.8135";"2.0016666666667";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2240";"HumanObservation"
"agoralogie";"iherbarium";"2241";"Geranium robertianum L.";"48.8135";"2.0016666666667";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2241";"HumanObservation"
"agoralogie";"iherbarium";"2243";"Hyacinthoides non-scripta (L.) Chouard";"48.812833333333";"1.9991666666667";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2243";"HumanObservation"
"agoralogie";"iherbarium";"2244";"Veronica chamaedrys L.";"48.812833333333";"1.9991666666667";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2244";"HumanObservation"
"agoralogie";"iherbarium";"2247";"Ajuga reptans L.";"48.813166666667";"1.9983333333333";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2247";"HumanObservation"
"agoralogie";"iherbarium";"2248";"Veronica chamaedrys L.";"48.813166666667";"1.9983333333333";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2248";"HumanObservation"
"agoralogie";"iherbarium";"2251";"Geranium robertianum L.";"48.813166666667";"1.9983333333333";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2251";"HumanObservation"
"agoralogie";"iherbarium";"2253";"Bellis perennis L.";"48.813166666667";"1.9983333333333";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2253";"HumanObservation"
"agoralogie";"iherbarium";"2256";"Hyacinthoides non-scripta (L.) Chouard";"48.813166666667";"1.9983333333333";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2256";"HumanObservation"
"agoralogie";"iherbarium";"2257";"Ajuga reptans L.";"48.813166666667";"1.9983333333333";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2257";"HumanObservation"
"agoralogie";"iherbarium";"2258";"Veronica chamaedrys L.";"48.813166666667";"1.9983333333333";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2258";"HumanObservation"
"agoralogie";"iherbarium";"2259";"Geranium robertianum L.";"48.813166666667";"1.9983333333333";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2259";"HumanObservation"
"agoralogie";"iherbarium";"2263";"Veronica chamaedrys L.";"48.813166666667";"1.9983333333333";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2263";"HumanObservation"
"agoralogie";"iherbarium";"2265";"Ajuga reptans L.";"48.8135";"1.9956666666667";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2265";"HumanObservation"
"agoralogie";"iherbarium";"2268";"Lamium galeobdolon L.";"48.8135";"1.9956666666667";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2268";"HumanObservation"
"agoralogie";"iherbarium";"2274";"Ajuga reptans L.";"48.8135";"1.9956666666667";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2274";"HumanObservation"
"agoralogie";"iherbarium";"2278";"Euphorbia amygdaloides L.";"48.8135";"1.9956666666667";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2278";"HumanObservation"
"agoralogie";"iherbarium";"2280";"Geranium robertianum L.";"48.811333333333";"1.997";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2280";"HumanObservation"
"agoralogie";"iherbarium";"2287";"Euphorbia amygdaloides L.";"48.811333333333";"1.997";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2287";"HumanObservation"
"agoralogie";"iherbarium";"2290";"Geranium robertianum L.";"48.811333333333";"1.997";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2290";"HumanObservation"
"agoralogie";"iherbarium";"2298";"Geranium robertianum L.";"48.811333333333";"1.9986666666667";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2298";"HumanObservation"
"agoralogie";"iherbarium";"2309";"Arum maculatum L.";"48.811333333333";"2.0001666666667";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2309";"HumanObservation"
"agoralogie";"iherbarium";"2310";"Ajuga reptans L.";"48.812166666667";"2.0015";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2310";"HumanObservation"
"agoralogie";"iherbarium";"2317";"Hyacinthoides non-scripta (L.) Chouard";"48.812166666667";"2.0015";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2317";"HumanObservation"
"agoralogie";"iherbarium";"2319";"Euphorbia amygdaloides L.";"48.813833333333";"2.0033333333333";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2319";"HumanObservation"
"agoralogie";"iherbarium";"2320";"Geranium robertianum L.";"48.813833333333";"2.0033333333333";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2320";"HumanObservation"
"agoralogie";"iherbarium";"2322";"Geranium robertianum L.";"48.814333333333";"2.0028333333333";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2322";"HumanObservation"
"agoralogie";"iherbarium";"2325";"Veronica chamaedrys L.";"48.814333333333";"2.0025";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2325";"HumanObservation"
"agoralogie";"iherbarium";"2328";"Geranium robertianum L.";"48.814333333333";"2.0025";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2328";"HumanObservation"
"agoralogie";"iherbarium";"2330";"Symphytum officinale L.";"48.814166666667";"2.0028333333333";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2330";"HumanObservation"
"agoralogie";"iherbarium";"2323";"Symphytum officinale L.";"48.814333333333";"2.0028333333333";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2323";"HumanObservation"
"agoralogie";"iherbarium";"2334";"Symphytum officinale L.";"48.814166666667";"2.0025";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2334";"HumanObservation"
"agoralogie";"iherbarium";"2335";"Lamium galeobdolon L.";"48.814166666667";"2.0021666666667";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2335";"HumanObservation"
"agoralogie";"iherbarium";"2370";"Arenaria balearica L.";"48.844";"2.359";"50meters";"2012-05-10";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2370";"HumanObservation"
"agoralogie";"iherbarium";"2374";"Asphodeline lutea Rchb.";"48.8435";"2.3586666666667";"50meters";"2012-05-10";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2374";"HumanObservation"
"agoralogie";"iherbarium";"2411";"Oxalis corniculata L.";"48.849666666667";"2.3696666666667";"50meters";"2012-05-10";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/2411";"HumanObservation"
"agoralogie";"iherbarium";"2159";"Geranium robertianum L.";"48.863166666667";"2.3921666666667";"50meters";"2012-05-05";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2159";"HumanObservation"
"agoralogie";"iherbarium";"2207";"Ajuga reptans L.";"48.814333333333";"2.0021666666667";"50meters";"2012-05-09";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2207";"HumanObservation"
"agoralogie";"iherbarium";"2450";"Alliaria petiolata (M. Bieb.) Cavara & Grande";"44.232166666667";"4.1395";"50meters";"2012-05-11";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2450";"HumanObservation"
"agoralogie";"iherbarium";"2461";"Chelidonium majus L.";"44.229";"4.1433333333333";"50meters";"2012-05-11";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2461";"HumanObservation"
"agoralogie";"iherbarium";"2484";"Vicia sativa L.";"44.228666666667";"4.1503333333333";"50meters";"2012-05-11";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2484";"HumanObservation"
"agoralogie";"iherbarium";"2460";"Lunaria annua L.";"44.229166666667";"4.1431666666667";"50meters";"2012-05-11";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2460";"HumanObservation"
"agoralogie";"iherbarium";"2514";"Orchis purpurea Huds.";"44.230833333333";"4.1473333333333";"50meters";"2012-05-11";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2514";"HumanObservation"
"agoralogie";"iherbarium";"2518";"Buglossoides purpurocaerulea (L.) I.M. Johnst.";"44.234333333333";"4.1493333333333";"50meters";"2012-05-11";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2518";"HumanObservation"
"agoralogie";"iherbarium";"2587";"Linaria vulgaris Mill.";"45.778";"3.0986666666667";"50meters";"2012-05-18";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2587";"HumanObservation"
"agoralogie";"iherbarium";"2594";"";"48.8395";"2.4135";"50meters";"2012-05-18";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2594";"HumanObservation"
"agoralogie";"iherbarium";"2521";"Saponaria ocymoides L.";"44.2355";"4.1491666666667";"50meters";"2012-05-11";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2521";"HumanObservation"
"agoralogie";"iherbarium";"2479";"Sanguisorba minor Scop.";"44.2275";"4.1518333333333";"50meters";"2012-05-11";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2479";"HumanObservation"
"agoralogie";"iherbarium";"2457";"Lunaria annua L.";"44.23";"4.1426666666667";"50meters";"2012-05-11";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2457";"HumanObservation"
"agoralogie";"iherbarium";"2638";"Alliaria officinalis Andrz. ex DC.";"44.231166666667";"4.1408333333333";"50meters";"2012-05-21";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2638";"HumanObservation"
"agoralogie";"iherbarium";"2653";"Globularia vulgaris L.";"44.205666666667";"4.1241666666667";"50meters";"2012-05-22";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2653";"HumanObservation"
"agoralogie";"iherbarium";"2655";"Globularia bisnagarica L.";"44.2055";"4.1243333333333";"50meters";"2012-05-22";"Alexise Duchêne";"http://www.iherbarium.fr/observation/data/2655";"HumanObservation"
"agoralogie";"iherbarium";"76";"Saponaria officinalis L.";"45.7821666667";"3.03933333333";"50meters";"2010-09-14";"Philippe Laroche";"http://www.iherbarium.fr/observation/data/76";"HumanObservation"
